Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-3-0-mm-3D,firstorder,Kurtosis,2.164511046,2.445369155,2.665489392
log-sigma-3-0-mm-3D,firstorder,Maximum,9.068050385,4.671730042,-45.60800552
log-sigma-3-0-mm-3D,firstorder,MeanAbsoluteDeviation,11.7456597,13.46578972,18.40393125
log-sigma-3-0-mm-3D,firstorder,Mean,-14.66261991,-33.7508416,-78.87192313
log-sigma-3-0-mm-3D,firstorder,Median,-12.43296623,-32.71601295,-71.87667084
log-sigma-3-0-mm-3D,firstorder,Minimum,-44.08098602,-66.195755,-127.7095184
log-sigma-3-0-mm-3D,firstorder,Range,53.14903641,70.86748505,82.10151291
log-sigma-3-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,8.517399758,9.54407766,10.63364196
log-sigma-3-0-mm-3D,firstorder,RootMeanSquared,20.19737232,37.47087411,82.00576197
log-sigma-3-0-mm-3D,firstorder,Skewness,-0.2744501,0.121503758,-0.694795026
log-sigma-3-0-mm-3D,firstorder,TotalEnergy,17133.22165,101092.7813,80699.33996
log-sigma-3-0-mm-3D,firstorder,Uniformity,0.404761905,0.372299383,0.319444444
log-sigma-3-0-mm-3D,firstorder,Variance,192.941426,264.9470974,504.1647387
log-sigma-3-0-mm-3D,glcm,Autocorrelation,3.29717027,6.611015858,9.659340659
log-sigma-3-0-mm-3D,glcm,ClusterProminence,1.305596661,4.399142429,8.659295972
log-sigma-3-0-mm-3D,glcm,ClusterShade,0.042381154,-0.241476134,-1.04922862
log-sigma-3-0-mm-3D,glcm,ClusterTendency,0.577141063,1.246258734,1.728359934
log-sigma-3-0-mm-3D,glcm,Contrast,2.178055272,0.753254038,4.332417582
log-sigma-3-0-mm-3D,glcm,Correlation,-0.376767791,0.217798965,-0.103752055
log-sigma-3-0-mm-3D,glcm,DifferenceAverage,1.254978348,0.581758179,1.717032967
log-sigma-3-0-mm-3D,glcm,DifferenceEntropy,0.735818186,1.109421019,0.489601886
log-sigma-3-0-mm-3D,glcm,DifferenceVariance,0.183567798,0.379485306,0.118731467
log-sigma-3-0-mm-3D,glcm,Id,0.52635698,0.737703554,0.467765568
log-sigma-3-0-mm-3D,glcm,Idm,0.464818518,0.726270496,0.39216225
log-sigma-3-0-mm-3D,glcm,Idmn,0.824798023,0.958717336,0.870634981
log-sigma-3-0-mm-3D,glcm,Idn,0.732409259,0.889364893,0.76778083
log-sigma-3-0-mm-3D,glcm,Imc1,-0.520845347,-0.299688013,-0.731943897
log-sigma-3-0-mm-3D,glcm,Imc2,0.814357254,0.709822909,0.935072512
log-sigma-3-0-mm-3D,glcm,InverseVariance,0.447286041,0.431699303,0.38743895
log-sigma-3-0-mm-3D,glcm,JointAverage,1.921701405,2.52711273,3.196428571
log-sigma-3-0-mm-3D,glcm,JointEnergy,0.290119645,0.217942052,0.255249215
log-sigma-3-0-mm-3D,glcm,JointEntropy,2.039386962,2.505912649,2.176104912
