Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
original,glcm,SumSquares,0.576027686,0.394472429,1.353982538,39.35618486
original,gldm,DependenceEntropy,4.451572431,4.767740063,5.40792581,3.918295834
original,gldm,DependenceNonUniformity,46.53472222,73.82471264,161.0419162,13.33333333
original,gldm,DependenceNonUniformityNormalized,0.161578897,0.106069989,0.120540356,0.555555556
original,gldm,DependenceVariance,9.253038194,19.44423801,9.241885241,0.222222222
original,gldm,GrayLevelNonUniformity,111.3472222,291.4109195,332.0194611,2.5
original,gldm,GrayLevelVariance,0.722173997,0.564927665,1.895267287,42.83159722
original,gldm,HighGrayLevelEmphasis,16.77777778,11.58045977,18.86152695,168.4583333
original,gldm,LargeDependenceEmphasis,23.47222222,47.73563218,28.49401198,2
original,gldm,LargeDependenceHighGrayLevelEmphasis,378.3263889,457.295977,429.0037425,307.9583333
original,gldm,LargeDependenceLowGrayLevelEmphasis,1.530550462,5.154767109,2.230563481,0.089026353
original,gldm,LowGrayLevelEmphasis,0.078065894,0.108216982,0.082286584,0.068948616
original,gldm,SmallDependenceEmphasis,0.288526196,0.199135081,0.225527537,0.75
original,gldm,SmallDependenceHighGrayLevelEmphasis,5.094650225,2.688030421,5.844534738,133.5833333
original,gldm,SmallDependenceLowGrayLevelEmphasis,0.027348135,0.026428692,0.019671695,0.063929182
original,glrlm,GrayLevelNonUniformity,93.61287186,223.1926412,273.6259147,2.459866221
original,glrlm,GrayLevelNonUniformityNormalized,0.362552414,0.383110365,0.234856672,0.103815254
original,glrlm,GrayLevelVariance,0.784073234,0.641700593,2.056229145,43.14573715
original,glrlm,HighGrayLevelRunEmphasis,16.85072719,11.88344984,19.40472746,168.8457358
original,glrlm,LongRunEmphasis,1.492061552,1.91770395,1.637996724,1.040133779
original,glrlm,LongRunHighGrayLevelEmphasis,24.8492116,21.03842431,29.25020737,174.444398
original,glrlm,LongRunLowGrayLevelEmphasis,0.112099223,0.206498042,0.133897949,0.070408203
original,glrlm,LowGrayLevelRunEmphasis,0.079528404,0.108948273,0.082695241,0.069602407
original,glrlm,RunEntropy,2.27023065,2.366236155,3.006399527,3.499094884
original,glrlm,RunLengthNonUniformity,216.2138435,444.4072983,927.6164099,23.10367893
original,glrlm,RunLengthNonUniformityNormalized,0.829102567,0.754129505,0.789097106,0.974407445
original,glrlm,RunPercentage,0.893429487,0.833885942,0.869702902,0.987179487
original,glrlm,RunVariance,0.188445658,0.398405048,0.26186684,0.012796277
original,glrlm,ShortRunEmphasis,0.92156287,0.884998738,0.904887773,0.989966555
original,glrlm,ShortRunHighGrayLevelEmphasis,15.58163114,10.68305144,17.91528063,167.4460702
original,glrlm,ShortRunLowGrayLevelEmphasis,0.074181448,0.09704965,0.075158835,0.069400959
original,glszm,GrayLevelNonUniformity,28.67619048,38.55974843,52.59206799,1.9
