"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"log-sigma-1-0-mm-3D","glrlm","LongRunEmphasis","1.3699776536157324","1.3238307296534404","1.140898894398088","1.3468659458288172"
"log-sigma-1-0-mm-3D","glrlm","LongRunHighGrayLevelEmphasis","32.34360087831545","43.46696578558674","236.5186925579797","68.14824878268769"
"log-sigma-1-0-mm-3D","glrlm","LongRunLowGrayLevelEmphasis","0.09177248409400435","0.05068562886517873","0.011896995355263744","0.03175306504256708"
"log-sigma-1-0-mm-3D","glrlm","LowGrayLevelRunEmphasis","0.07062970680786415","0.040140771419935724","0.010928878831007212","0.02451971794492586"
"log-sigma-1-0-mm-3D","glrlm","RunEntropy","2.592226241634831","2.5176936138947577","4.049775132748192","2.7795636050460177"
"log-sigma-1-0-mm-3D","glrlm","RunLengthNonUniformity","80.9833349074566","284.25921034063015","301.23932142324395","671.809725572505"
"log-sigma-1-0-mm-3D","glrlm","RunLengthNonUniformityNormalized","0.842539020045644","0.8720290863721976","0.9187774014995013","0.8528709390031707"
"log-sigma-1-0-mm-3D","glrlm","RunPercentage","0.91198224852071","0.9261715296198054","0.9574898785425101","0.915600792649973"
"log-sigma-1-0-mm-3D","glrlm","RunVariance","0.1230525692244073","0.11961550958388095","0.04771534069434277","0.13026636402318717"
"log-sigma-1-0-mm-3D","glrlm","ShortRunEmphasis","0.9268974569690156","0.9411433134757992","0.967536370897297","0.936569702367806"
"log-sigma-1-0-mm-3D","glrlm","ShortRunHighGrayLevelEmphasis","22.277060685653076","30.574548292979628","199.91157866673728","46.643085706263236"
"log-sigma-1-0-mm-3D","glrlm","ShortRunLowGrayLevelEmphasis","0.06630204266489702","0.03811179260147226","0.01070387403568739","0.023189181600577993"
