Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Calcium,Segmentation_segment_Fibrous
log-sigma-1-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.109524484,0.00495751,0.023609024,0.008513147
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformity,18.42802532,419.745711,4.702351412,242.8487835
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.478342839,0.39667243,0.158440386,0.349195271
log-sigma-1-0-mm-3D,glrlm,GrayLevelVariance,0.331988775,0.508112349,4.884312481,0.673572147
log-sigma-1-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,3.446910857,19.94410501,35.86924849,24.63601309
log-sigma-1-0-mm-3D,glrlm,LongRunEmphasis,1.374792419,3.664855524,1.277135767,1.791986099
log-sigma-1-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,4.68931751,69.08330884,45.4191067,44.97205696
log-sigma-1-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.642917789,0.208552893,0.133135873,0.080976788
log-sigma-1-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.472951634,0.056907345,0.109513032,0.047766751
log-sigma-1-0-mm-3D,glrlm,RunEntropy,1.552523574,2.865313291,2.999898471,2.460970336
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformity,34.08114425,570.426887,26.37376817,515.2278603
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.872057507,0.528254898,0.877099154,0.734020149
log-sigma-1-0-mm-3D,glrlm,RunPercentage,0.916666667,0.658497986,0.927884615,0.831523739
log-sigma-1-0-mm-3D,glrlm,RunVariance,0.07909412,1.171417159,0.061450423,0.312206896
log-sigma-1-0-mm-3D,glrlm,ShortRunEmphasis,0.916492113,0.745160095,0.930716058,0.875726598
log-sigma-1-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,3.177070064,15.0121549,33.48178394,21.47065799
log-sigma-1-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.43300765,0.042843776,0.103607322,0.042426676
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformity,7.5,22.3255814,1.666666667,38.7398374
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.46875,0.259599784,0.138888889,0.314958028
log-sigma-1-0-mm-3D,glszm,GrayLevelVariance,0.359375,1.310573283,5.583333333,0.997157776
log-sigma-1-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,3.875,17.77906977,35.83333333,21.50406504
log-sigma-1-0-mm-3D,glszm,LargeAreaEmphasis,10.625,10625.4186,8.333333333,779.0081301
log-sigma-1-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,33.375,199469.0349,310.1666667,20495.18699
log-sigma-1-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,5.284722222,590.8703916,0.675037963,30.39876454
log-sigma-1-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.420138889,0.084733428,0.130599149,0.063782608
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformity,4.25,31.90697674,3.833333333,36.05691057
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.265625,0.371011357,0.319444444,0.293145614
log-sigma-1-0-mm-3D,glszm,SmallAreaEmphasis,0.423719618,0.62900265,0.240601852,0.557160255
log-sigma-1-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,1.834201389,9.6204671,10.3762963,11.87717667
log-sigma-1-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.157904731,0.063211804,0.030862161,0.038122228
log-sigma-1-0-mm-3D,glszm,ZoneEntropy,3.202819531,3.94182471,3.584962501,4.23874227
log-sigma-1-0-mm-3D,glszm,ZonePercentage,0.380952381,0.05361596,0.375,0.147129187
log-sigma-1-0-mm-3D,glszm,ZoneVariance,3.734375,10277.55273,1.222222222,732.8123471
log-sigma-1-0-mm-3D,ngtdm,Busyness,0.715116279,4.698034904,0.174519767,2.880060841
log-sigma-1-0-mm-3D,ngtdm,Coarseness,0.341463415,0.005138762,0.162553473,0.007797132
log-sigma-1-0-mm-3D,ngtdm,Complexity,0.436576355,7.197150026,37.18789224,11.80290142
log-sigma-1-0-mm-3D,ngtdm,Contrast,0.018014613,0.006529231,0.247077313,0.015431853
log-sigma-1-0-mm-3D,ngtdm,Strength,0.897959184,0.123805391,4.116104787,0.179369009
log-sigma-3-0-mm-3D,firstorder,10Percentile,-8.658106804,-22.2308794,-45.30127678,-46.22345352
log-sigma-3-0-mm-3D,firstorder,90Percentile,39.45303955,41.94834518,31.02268925,31.71489334
log-sigma-3-0-mm-3D,firstorder,Energy,25132.74442,1295982.589,31171.7526,793247.6493
log-sigma-3-0-mm-3D,firstorder,Entropy,1.553763114,2.149957161,2.402017878,2.314209976
log-sigma-3-0-mm-3D,firstorder,InterquartileRange,34.40585805,35.29045701,45.43057871,42.09726381
log-sigma-3-0-mm-3D,firstorder,Kurtosis,1.836310365,2.992907061,2.026985872,2.638879808
log-sigma-3-0-mm-3D,firstorder,Maximum,49.22371292,83.99036407,50.53850555,81.79705811
log-sigma-3-0-mm-3D,firstorder,MeanAbsoluteDeviation,17.37311218,20.97186079,26.81760497,23.97827008
log-sigma-3-0-mm-3D,firstorder,Mean,14.46977018,11.68045779,-4.833855867,-8.536550135
log-sigma-3-0-mm-3D,firstorder,Median,9.281420708,14.64887619,0.927415848,-10.71270657
log-sigma-3-0-mm-3D,firstorder,Minimum,-24.32964134,-73.97545624,-61.96162415,-83.19049072
