Image type,Feature Class,Feature Name,Segmentation_segment_Calcium,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_IPH
log-sigma-1-0-mm-3D,glcm,JointEnergy,0.08753947,0.034770532,0.046382175,0.06524447
log-sigma-1-0-mm-3D,glcm,JointEntropy,4.26440338,5.619483196,5.493228336,4.129962615
log-sigma-1-0-mm-3D,glcm,MCC,0.731982749,0.966082498,0.986035396,0.993732129
log-sigma-1-0-mm-3D,glcm,MaximumProbability,0.18371232,0.109494543,0.123590184,0.106818342
log-sigma-1-0-mm-3D,glcm,SumAverage,13.43807586,106.2037115,99.57778699,16.27178367
log-sigma-1-0-mm-3D,glcm,SumEntropy,3.152560915,4.165982589,4.128958832,3.019268211
log-sigma-1-0-mm-3D,glcm,SumSquares,1.893774324,56.63674463,57.98089527,9.024607523
log-sigma-1-0-mm-3D,gldm,DependenceEntropy,6.269328459,5.722293473,6.248589857,4.522055209
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformity,61.09168443,58.20491803,83.33442623,13.29166667
log-sigma-1-0-mm-3D,gldm,DependenceNonUniformityNormalized,0.065129728,0.238544746,0.136613813,0.276909722
log-sigma-1-0-mm-3D,gldm,DependenceVariance,23.56686867,3.30307713,7.150002687,1.430555556
log-sigma-1-0-mm-3D,gldm,GrayLevelNonUniformity,218.7356077,24.00819672,77.57377049,5.083333333
log-sigma-1-0-mm-3D,gldm,GrayLevelVariance,2.033461614,63.85004031,53.42231927,8.520833333
log-sigma-1-0-mm-3D,gldm,HighGrayLevelEmphasis,48.74733475,2878.065574,2528.077049,76.58333333
log-sigma-1-0-mm-3D,gldm,LargeDependenceEmphasis,84.63326226,9.885245902,22.21967213,6.125
log-sigma-1-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis,3747.007463,29245.34426,57394.42131,398.8333333
log-sigma-1-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis,2.074525933,0.007648328,0.010587593,0.181626655
log-sigma-1-0-mm-3D,gldm,LowGrayLevelEmphasis,0.025723489,0.00459503,0.002301128,0.042481472
log-sigma-1-0-mm-3D,gldm,SmallDependenceEmphasis,0.088976327,0.415201315,0.278300531,0.477795139
log-sigma-1-0-mm-3D,gldm,SmallDependenceHighGrayLevelEmphasis,5.103692503,1163.950827,653.7369564,42.33376736
log-sigma-1-0-mm-3D,gldm,SmallDependenceLowGrayLevelEmphasis,0.003474682,0.004385281,0.002007817,0.029336198
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformity,151.4911968,21.69934852,63.97790919,4.834832459
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformityNormalized,0.217991112,0.094299306,0.11715565,0.1054486
log-sigma-1-0-mm-3D,glrlm,GrayLevelVariance,2.373891166,67.16938899,59.93221442,8.556714052
log-sigma-1-0-mm-3D,glrlm,HighGrayLevelRunEmphasis,49.99624193,2873.046331,2520.319887,77.20773294
log-sigma-1-0-mm-3D,glrlm,LongRunEmphasis,2.541053521,1.239800609,1.530368969,1.149187175
log-sigma-1-0-mm-3D,glrlm,LongRunHighGrayLevelEmphasis,119.5606881,3581.809729,3888.059327,86.583432
log-sigma-1-0-mm-3D,glrlm,LongRunLowGrayLevelEmphasis,0.063694174,0.004974576,0.002777525,0.047267876
log-sigma-1-0-mm-3D,glrlm,LowGrayLevelRunEmphasis,0.026237169,0.004891293,0.002567686,0.043252873
log-sigma-1-0-mm-3D,glrlm,RunEntropy,3.586725003,4.207434546,4.268294908,3.539362597
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformity,416.0910479,206.9763553,450.1959796,42.02869046
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformityNormalized,0.589108649,0.896051359,0.817657101,0.91408501
log-sigma-1-0-mm-3D,glrlm,RunPercentage,0.737903887,0.939785624,0.889155107,0.955128205
log-sigma-1-0-mm-3D,glrlm,RunVariance,0.579003775,0.087971065,0.207534015,0.04785778
log-sigma-1-0-mm-3D,glrlm,ShortRunEmphasis,0.789305335,0.954490189,0.917104562,0.964602541
log-sigma-1-0-mm-3D,glrlm,ShortRunHighGrayLevelEmphasis,40.30533381,2739.06686,2305.800189,74.91129156
log-sigma-1-0-mm-3D,glrlm,ShortRunLowGrayLevelEmphasis,0.021092918,0.004875312,0.002534649,0.042325095
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformity,15.48648649,8.483870968,11.1980198,3
log-sigma-1-0-mm-3D,glszm,GrayLevelNonUniformityNormalized,0.139517896,0.068418314,0.055435742,0.107142857
log-sigma-1-0-mm-3D,glszm,GrayLevelVariance,5.453778102,102.7213189,135.6741741,9.116071429
log-sigma-1-0-mm-3D,glszm,HighGrayLevelZoneEmphasis,57.65765766,2824.362903,2395.688119,85.67857143
log-sigma-1-0-mm-3D,glszm,LargeAreaEmphasis,494.3963964,9.096774194,49.95049505,4.357142857
log-sigma-1-0-mm-3D,glszm,LargeAreaHighGrayLevelEmphasis,22487.45045,26751.87097,128678.6782,291.6428571
log-sigma-1-0-mm-3D,glszm,LargeAreaLowGrayLevelEmphasis,11.53913873,0.011496886,0.025232293,0.14706365
log-sigma-1-0-mm-3D,glszm,LowGrayLevelZoneEmphasis,0.036639636,0.00869655,0.00613798,0.054140981
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformity,19.25225225,52.27419355,79.44554455,12.78571429
log-sigma-1-0-mm-3D,glszm,SizeZoneNonUniformityNormalized,0.173443714,0.421566077,0.393294775,0.456632653
log-sigma-1-0-mm-3D,glszm,SmallAreaEmphasis,0.402249961,0.671576734,0.650263585,0.700525794
log-sigma-1-0-mm-3D,glszm,SmallAreaHighGrayLevelEmphasis,24.66756561,1868.398927,1474.253436,65.0406746
log-sigma-1-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.020733561,0.008575358,0.00598335,0.047326019
log-sigma-1-0-mm-3D,glszm,ZoneEntropy,5.607139236,5.503490089,6.150509196,4.06610894
log-sigma-1-0-mm-3D,glszm,ZonePercentage,0.118336887,0.508196721,0.331147541,0.583333333
log-sigma-1-0-mm-3D,glszm,ZoneVariance,422.9862836,5.224765869,40.83129105,1.418367347
log-sigma-1-0-mm-3D,ngtdm,Busyness,0.658254213,0.009839936,0.015031695,0.072412253
log-sigma-1-0-mm-3D,ngtdm,Coarseness,0.011349188,0.040708597,0.018087751,0.174439801
log-sigma-1-0-mm-3D,ngtdm,Complexity,51.33599497,1383.826317,2066.481352,68.34954626
log-sigma-1-0-mm-3D,ngtdm,Contrast,0.012287063,0.211273563,0.085457481,0.169682489
log-sigma-1-0-mm-3D,ngtdm,Strength,1.218100639,61.5524544,50.88707185,8.416943112
log-sigma-3-0-mm-3D,firstorder,10Percentile,-43.38857994,-268.1601532,-174.3161957,-56.31326523
log-sigma-3-0-mm-3D,firstorder,90Percentile,93.75829163,76.37014694,113.5011398,98.77126007
log-sigma-3-0-mm-3D,firstorder,Energy,3692286.427,5741488.611,14093853.27,498832.8958
log-sigma-3-0-mm-3D,firstorder,Entropy,3.139239424,3.911623359,4.060803543,2.891652509
log-sigma-3-0-mm-3D,firstorder,InterquartileRange,84.4490881,108.7073898,111.9271727,65.62874365
log-sigma-3-0-mm-3D,firstorder,Kurtosis,6.311840078,5.696828459,6.774877544,11.69334744
log-sigma-3-0-mm-3D,firstorder,Maximum,134.5044708,150.3362122,469.1530151,114.5081024
log-sigma-3-0-mm-3D,firstorder,MeanAbsoluteDeviation,46.65481857,103.9419993,95.59814725,61.25737104
log-sigma-3-0-mm-3D,firstorder,Mean,23.86694928,-52.30194407,-9.776561552,30.40065606
log-sigma-3-0-mm-3D,firstorder,Median,29.20122719,-9.408965588,-3.106102467,55.58546829
log-sigma-3-0-mm-3D,firstorder,Minimum,-374.3348999,-588.3154297,-600.8064575,-398.1311646
log-sigma-3-0-mm-3D,firstorder,Range,508.8393707,738.6516418,1069.959473,512.639267
log-sigma-3-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,34.45823798,55.27836193,48.2381529,30.20680389
log-sigma-3-0-mm-3D,firstorder,RootMeanSquared,62.74025402,153.3971676,152.0022286,101.9428859
log-sigma-3-0-mm-3D,firstorder,Skewness,-0.954883961,-1.705100389,-0.809130142,-2.818470643
log-sigma-3-0-mm-3D,firstorder,TotalEnergy,3692286.427,5741488.611,14093853.27,498832.8958
log-sigma-3-0-mm-3D,firstorder,Uniformity,0.129343384,0.104709755,0.089685568,0.168402778
log-sigma-3-0-mm-3D,firstorder,Variance,3366.708207,20795.19768,23009.09633,9468.152106
log-sigma-3-0-mm-3D,glcm,Autocorrelation,280.4647163,491.3727028,646.7639796,370.1758236
log-sigma-3-0-mm-3D,glcm,ClusterProminence,1333.659427,71507.55782,124638.1837,3954.755768
