Image type,Feature Class,Feature Name,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.066083164,0.048952326,0.001653831,
log-sigma-1-0-mm-3D,glszm,ZoneEntropy,4.88771568,4.931887647,6.228934768,
log-sigma-1-0-mm-3D,glszm,ZonePercentage,0.189320388,0.374100719,0.650704225,
log-sigma-1-0-mm-3D,glszm,ZoneVariance,79.58711374,30.23927515,1.79410056,
log-sigma-1-0-mm-3D,ngtdm,Busyness,0.487008825,0.257968277,0.054396083,
log-sigma-1-0-mm-3D,ngtdm,Coarseness,0.050840178,0.031615675,0.009725914,
log-sigma-1-0-mm-3D,ngtdm,Complexity,36.40696549,192.6606339,5743.486663,
log-sigma-1-0-mm-3D,ngtdm,Contrast,0.04215353,0.039263511,0.352186034,
log-sigma-1-0-mm-3D,ngtdm,Strength,3.132277122,15.9089984,10.35632113,
log-sigma-3-0-mm-3D,firstorder,10Percentile,-71.35298157,-124.3020859,-613.6527588,
log-sigma-3-0-mm-3D,firstorder,90Percentile,39.82440948,6.994594717,-80.08085327,
log-sigma-3-0-mm-3D,firstorder,Energy,624387.2878,2896777.557,103878541.4,
log-sigma-3-0-mm-3D,firstorder,Entropy,3.070719022,3.24387554,4.882209199,
log-sigma-3-0-mm-3D,firstorder,InterquartileRange,60.63367939,59.60059357,270.4362068,
log-sigma-3-0-mm-3D,firstorder,Kurtosis,4.245602905,12.04686377,2.529382729,
log-sigma-3-0-mm-3D,firstorder,Maximum,112.873436,98.36463928,41.11193466,
log-sigma-3-0-mm-3D,firstorder,MeanAbsoluteDeviation,39.44739935,49.24857376,158.1667629,
log-sigma-3-0-mm-3D,firstorder,Mean,-15.91287024,-63.73824889,-329.0588153,
log-sigma-3-0-mm-3D,firstorder,Median,-14.13311911,-53.39352798,-305.6839905,
log-sigma-3-0-mm-3D,firstorder,Minimum,-207.812561,-502.2200012,-837.4786377,
log-sigma-3-0-mm-3D,firstorder,Range,320.685997,600.5846405,878.5905724,
log-sigma-3-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,24.95789782,24.32999528,113.80925,
log-sigma-3-0-mm-3D,firstorder,RootMeanSquared,55.05457521,102.0787106,382.5020324,
log-sigma-3-0-mm-3D,firstorder,Skewness,-0.486343276,-2.353386781,-0.450969412,
log-sigma-3-0-mm-3D,firstorder,TotalEnergy,624387.2878,2896777.557,103878541.4,
log-sigma-3-0-mm-3D,firstorder,Uniformity,0.146479404,0.146420993,0.037992462,
log-sigma-3-0-mm-3D,firstorder,Variance,2777.786812,6357.498784,38028.10092,
log-sigma-3-0-mm-3D,glcm,Autocorrelation,84.09204495,378.9345637,430.1865617,
log-sigma-3-0-mm-3D,glcm,ClusterProminence,502.3276823,7197.947086,120695.144,
log-sigma-3-0-mm-3D,glcm,ClusterShade,-6.187140587,-237.9448534,-807.7742503,
log-sigma-3-0-mm-3D,glcm,ClusterTendency,11.06612873,25.5691578,225.4207815,
log-sigma-3-0-mm-3D,glcm,Contrast,4.003016702,5.704288284,17.79675096,
log-sigma-3-0-mm-3D,glcm,Correlation,0.475318761,0.623684047,0.85342337,
log-sigma-3-0-mm-3D,glcm,DifferenceAverage,1.573400432,1.813156252,3.367379737,
log-sigma-3-0-mm-3D,glcm,DifferenceEntropy,1.853283178,2.224952112,3.106165991,
log-sigma-3-0-mm-3D,glcm,DifferenceVariance,1.011011628,2.074842221,5.931346725,
log-sigma-3-0-mm-3D,glcm,Id,0.503752492,0.478512535,0.340186924,
log-sigma-3-0-mm-3D,glcm,Idm,0.439937857,0.409083937,0.247453409,
log-sigma-3-0-mm-3D,glcm,Idmn,0.980608768,0.991168481,0.986772706,
log-sigma-3-0-mm-3D,glcm,Idn,0.904445272,0.935326623,0.918109628,
log-sigma-3-0-mm-3D,glcm,Imc1,-0.365248425,-0.376070728,-0.319193803,
log-sigma-3-0-mm-3D,glcm,Imc2,0.930291369,0.946172833,0.976426414,
log-sigma-3-0-mm-3D,glcm,InverseVariance,0.414699461,0.38920264,0.261307267,
log-sigma-3-0-mm-3D,glcm,JointAverage,9.071901524,19.33534594,19.44121836,
log-sigma-3-0-mm-3D,glcm,JointEnergy,0.047391084,0.037960184,0.004085202,
log-sigma-3-0-mm-3D,glcm,JointEntropy,4.727214214,5.12284277,8.230999375,
log-sigma-3-0-mm-3D,glcm,MCC,0.864148161,0.944410764,0.886676145,
log-sigma-3-0-mm-3D,glcm,MaximumProbability,0.091494521,0.083448546,0.012198104,
