"Image type","Feature Class","Feature Name","Segmentation_segment_IPH","Segmentation_segment_IPH_lipid","Segmentation_segment_Calcium","Segmentation_segment_Fibrous"
"original","glrlm","GrayLevelNonUniformity","166.32600298292434","178.45304667942608","","203.0658081406368"
"original","glrlm","GrayLevelNonUniformityNormalized","0.24122877316744448","0.3444436058528649","","0.2606327487400304"
"original","glrlm","GrayLevelVariance","1.548159736571125","0.7273396999578995","","2.028601650775884"
"original","glrlm","HighGrayLevelRunEmphasis","29.641799477420367","11.187141700915113","","27.26465050075621"
"original","glrlm","LongRunEmphasis","1.6231533483340888","1.4060339769233399","","1.5006496159522826"
"original","glrlm","LongRunHighGrayLevelEmphasis","46.87356996785707","15.320617282806872","","37.583481216370686"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.07487024504397914","0.16750971577932167","","0.0757246720796206"
"original","glrlm","LowGrayLevelRunEmphasis","0.048032172513681096","0.12288003197241895","","0.04933595425422936"
"original","glrlm","RunEntropy","2.9163764559639245","2.217888143440549","","2.8431303985668155"
"original","glrlm","RunLengthNonUniformity","546.1527653589993","443.1663537789633","","633.5216801025496"
"original","glrlm","RunLengthNonUniformityNormalized","0.7824973931626815","0.8491534308705978","","0.8100190490536894"
"original","glrlm","RunPercentage","0.8689782439782441","0.9100758396533044","","0.8833041958041957"
"original","glrlm","RunVariance","0.24081435480725571","0.16436934367951592","","0.19893799354027056"
"original","glrlm","ShortRunEmphasis","0.8994609516362567","0.9337583046072259","","0.9167917514072683"
"original","glrlm","ShortRunHighGrayLevelEmphasis","26.92780601706102","10.480822569986012","","25.480912147010592"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.04344336919556244","0.1157697016485437","","0.04506653742823187"
"original","glszm","GrayLevelNonUniformity","29.748538011695906","50.81725888324873","","42.580071174377224"
"original","glszm","GrayLevelNonUniformityNormalized","0.17396805854792927","0.2579556288489783","","0.15153050239991894"
"original","glszm","GrayLevelVariance","2.7621490373106257","1.212244582442217","","3.4269576119856637"
"original","glszm","HighGrayLevelZoneEmphasis","34.80701754385965","11.766497461928934","","35.20284697508897"
"original","glszm","LargeAreaEmphasis","127.96491228070175","60.81218274111675","","85.28825622775801"
