"Image type","Feature Class","Feature Name","Segmentation_segment_IPH_lipid","Segmentation_segment_Fibrous","Segmentation_segment_Calcium","Segmentation_segment_IPH"
"original","glcm","DifferenceVariance","0.343344591806942","1.2947596234104621","67.68645473192531","0.07142857142857142"
"original","glcm","Id","0.7533996400292821","0.5533956168675375","0.1463742907577309","0.7142857142857143"
"original","glcm","Idm","0.7429817857652737","0.5010964647915833","0.07141666027580042","0.7142857142857143"
"original","glcm","Idmn","0.9739247764663871","0.9565030181892459","0.931693565848322","0.8857142857142858"
"original","glcm","Idn","0.9126747901319235","0.8692440654103119","0.8241332858675233","0.8095238095238094"
"original","glcm","Imc1","-0.12394227446809146","-0.19416414481826474","-0.5638444271623327","-0.5930093771127191"
"original","glcm","Imc2","0.4306117339926916","0.7198864675605621","0.998676166945547","0.5979625749991987"
"original","glcm","InverseVariance","0.40803414511139974","0.4263244805546336","0.07417192119921451","0.5714285714285714"
"original","glcm","JointAverage","2.187094551161196","3.1515298020026914","26.88919634851354","1.3928571428571428"
"original","glcm","JointEnergy","0.33758156579392795","0.08451035019300876","0.004943117091079293","0.5178571428571429"
"original","glcm","JointEntropy","2.069010849320512","3.9390495280218376","7.745183151497288","1.0714285714285707"
"original","glcm","MCC","0.34492724136837843","0.656360699645451","0.8182548489609501","0.6190476201119874"
"original","glcm","MaximumProbability","0.4984995157740516","0.15493732389167894","0.011119184120090813","0.5357142857142857"
"original","glcm","SumAverage","4.374189102322392","6.303059604005383","53.77839269702708","2.7857142857142856"
"original","glcm","SumEntropy","1.4300947558215868","2.4989359549969237","5.739583657136379","0.4999999999999995"
"original","glcm","SumSquares","0.31528520673077887","1.5655365917526578","165.71988878918881","0.20535714285714285"
"original","gldm","DependenceEntropy","3.997453965045591","4.489995177297267","6.111412853634343","1.7499999999999987"
"original","gldm","DependenceNonUniformity","15.76923076923077","59.06956521739131","128.64655172413794","3.75"
"original","gldm","DependenceNonUniformityNormalized","0.12130177514792899","0.2568241965973535","0.5545109988109393","0.46875"
"original","gldm","DependenceVariance","8.847100591715977","3.2321361058601137","0.3035077288941736","0.5"
"original","gldm","GrayLevelNonUniformity","65.0","52.165217391304346","5.896551724137931","4.0"
"original","gldm","GrayLevelVariance","0.38940828402366867","1.8720037807183365","165.87884586801425","0.25"
"original","gldm","HighGrayLevelEmphasis","5.469230769230769","12.195652173913043","719.1422413793103","2.5"
"original","gldm","LargeDependenceEmphasis","28.615384615384617","9.373913043478261","2.1120689655172415","6.75"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","123.16153846153846","77.41304347826087","1826.9612068965516","12.75"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","6.958320512820513","1.6568127341516314","0.02339119855291842","5.25"
"original","gldm","LowGrayLevelEmphasis","0.25532905982905985","0.17807020235630483","0.017043456540106226","0.625"
"original","gldm","SmallDependenceEmphasis","0.2738639160763079","0.4558456954440392","0.7650862068965517","0.1918402777777778"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","1.8534150660146331","6.475866828655778","502.1252394636016","0.5668402777777778"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.09355257683484146","0.09269758375371082","0.01553043364771583","0.09809027777777778"
"original","glrlm","GrayLevelNonUniformity","52.780762300532345","48.23991466717122","5.806986421425502","3.5918367346938775"
"original","glrlm","GrayLevelNonUniformityNormalized","0.46590010174393187","0.22210226771906516","0.025365415363322312","0.5029154518950437"
"original","glrlm","GrayLevelVariance","0.4338580793599164","1.9203160641685872","165.1693695258605","0.24854227405247814"
